institution	broad_subject_letters	N_in_broad	totalinst	subject_letters	N_in_subject	percent_in_category	percent_in_institution	subject
CUL	Q	126748	2268893	QA	18795	0.15	0.01	Mathematics
CUL	B	210694	2268893	BX	33219	0.16	0.01	Christian Denominations
CUL	Q	126748	2268893	QC	20495	0.16	0.01	Physics
CUL	D	289497	2268893	DC	9184	0.03	0	France, Andorra, Monaco
CUL	P	579911	2268893	PL	76513	0.13	0.03	Languages and literatures of Eastern Asia, Africa, Oceania
CUL	D	289497	2268893	DF	2609	0.01	0	Greece
CUL	P	579911	2268893	P	15063	0.03	0.01	Philology. Linguistics
CUL	R	80051	2268893	R	8832	0.11	0	Medicine (General)
CUL	N	154342	2268893	N	38687	0.25	0.02	Visual arts
CUL	Q	126748	2268893	QB	6922	0.05	0	Astronomy
CUL	N	154342	2268893	NA	54193	0.35	0.02	Architecture
CUL	H	324644	2268893	HG	24196	0.07	0.01	Finance
CUL	Z	52705	2268893	Z	52544	1	0.02	Books (General). Writing. Paleography. Book industries and trade. Libraries. Bibliography
CUL	T	78343	2268893	TR	4378	0.06	0	Photography
CUL	Q	126748	2268893	Q	11461	0.09	0.01	Science (General)
CUL	E	20341	2268893	E	20341	1	0.01	American History
CUL	D	289497	2268893	DK	32100	0.11	0.01	Russia. Soviet Union. Former Soviet Republics, Poland
CUL	B	210694	2268893	BR	13888	0.07	0.01	Christianity
CUL	B	210694	2268893	BJ	5335	0.03	0	Ethics
CUL	B	210694	2268893	BM	6703	0.03	0	Judaism
CUL	B	210694	2268893	BS	10653	0.05	0	The Bible
CUL	P	579911	2268893	PC	4254	0.01	0	Romanic languages
CUL	N	154342	2268893	NB	7411	0.05	0	Sculpture
CUL	J	56234	2268893	JQ	9851	0.18	0	Political institutions and public administration (Asia, Africa, Australia, Pacific Area, etc.)
CUL	B	210694	2268893	BL	23046	0.11	0.01	Religions. Mythology. Rationalism
CUL	M	72866	2268893	M	35226	0.48	0.02	Music
CUL	P	579911	2268893	PZ	11124	0.02	0	Fiction and juvenile belles lettres
CUL	Q	126748	2268893	QP	15310	0.12	0.01	Physiology
CUL	C	17443	2268893	CT	4883	0.28	0	Biography
CUL	Q	126748	2268893	QL	7743	0.06	0	Zoology
CUL	B	210694	2268893	BT	7372	0.03	0	Doctrinal theology
CUL	H	324644	2268893	HV	21857	0.07	0.01	Social pathology. Social and public welfare. Criminology
CUL	T	78343	2268893	TJ	5161	0.07	0	Mechanical engineering and machinery
CUL	F	56911	2268893	F	56911	1	0.03	Local History of the United States and British, Dutch, French, and Latin America
CUL	U	15335	2268893	U	3834	0.25	0	Military science (General)
CUL	U	15335	2268893	UA	6302	0.41	0	Armies: Organization, distribution, military situation
CUL	J	56234	2268893	JX	7661	0.14	0	International law, see JZ and KZ (obsolete)
CUL	U	15335	2268893	UB	1701	0.11	0	Military administration
CUL	H	324644	2268893	HF	28857	0.09	0.01	Commerce
CUL	H	324644	2268893	HN	13976	0.04	0.01	Social history and conditions. Social problems. Social reform
CUL	H	324644	2268893	HQ	18765	0.06	0.01	The family. Marriage, Women and Sexuality
CUL	Q	126748	2268893	QH	12954	0.1	0.01	Natural history. Biology
CUL	H	324644	2268893	HT	14631	0.05	0.01	Communities. Classes. Races
CUL	H	324644	2268893	HX	11395	0.04	0.01	Socialism. Communism. Anarchism
CUL	H	324644	2268893	HJ	8667	0.03	0	Public finance
CUL	B	210694	2268893	BF	17974	0.09	0.01	Psychology
CUL	C	17443	2268893	CB	2778	0.16	0	History of Civilization
CUL	D	289497	2268893	D	32882	0.11	0.01	History (General)
CUL	T	78343	2268893	TD	5144	0.07	0	Environmental technology. Sanitary engineering
CUL	M	72866	2268893	ML	34410	0.47	0.02	Literature on music
CUL	H	324644	2268893	HE	9612	0.03	0	Transportation and communications
CUL	J	56234	2268893	JN	11188	0.2	0	Political institutions and public administration (Europe)
CUL	J	56234	2268893	JF	1843	0.03	0	Political institutions and public administration
CUL	T	78343	2268893	TL	4149	0.05	0	Motor vehicles. Aeronautics. Astronautics
CUL	N	154342	2268893	NE	3608	0.02	0	Print media
CUL	G	51954	2268893	GV	5780	0.11	0	Recreation. Leisure
CUL	T	78343	2268893	TK	13758	0.18	0.01	Electrical engineering. Electronics. Nuclear engineering
